route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
517,YRT,401,BROTHER ANDRE SS VIA BOX GROVE,,3,,626469,FFFFFF
8412,YRT,402,BUR OAK / PIERRE ELLIOT TRUDEA SS,,3,,626469,FFFFFF
5583,YRT,405,ST AUGUSTINE SS,,3,,626469,FFFFFF
8414,YRT,406,MARKHAM DISTRICT SS,,3,,626469,FFFFFF
406,YRT,410,MARKHAM DISTRICT SS VIA CARLTON,,3,,626469,FFFFFF
3576,YRT,411,MARKHAM DISTRICT SS VIA BOX GROVE,,3,,626469,FFFFFF
5727,YRT,412,THORNLEA SCHOOL SPECIAL,,3,,626469,FFFFFF
407,YRT,413,ST ROBERT/THORNLEA SS VIA JOHN,,3,,626469,FFFFFF
409,YRT,415,STOUFFVILLE HIGH SS,,3,,626469,FFFFFF
886,YRT,418,PIERRE ELLIOT TRUDEAU SS,,3,,626469,FFFFFF
295,YRT,420,NEWMARKET HIGH SS VIA SAVAGE,,3,,626469,FFFFFF
296,YRT,421,NEWMARKET HIGH SS VIA STONEHAVEN,,3,,626469,FFFFFF
298,YRT,423,NEWMARKET HIGH SS VIA BRISTOL,,3,,626469,FFFFFF
299,YRT,424,KESWICK HIGH SS,,3,,626469,FFFFFF
300,YRT,425,HURON HTS SS VIA HOLLAND LANDING,,3,,626469,FFFFFF
301,YRT,426,G.W. WILLIAMS SS VIA HOLLIDGE,,3,,626469,FFFFFF
302,YRT,427,SACRED HEART SS,,3,,626469,FFFFFF
303,YRT,428,G.W. WILLIAMS SS VIA HENDERSON,,3,,626469,FFFFFF
2657,YRT,429,CARDINAL CARTER SS,,3,,626469,FFFFFF
410,YRT,440,ST THERESA SS VIA MILL,,3,,626469,FFFFFF
411,YRT,441,RICHMOND HILL HIGH SS VIA SUBRISCO,,3,,626469,FFFFFF
5591,YRT,442,RICHMOND HILL HIGH SS VIA GAMBLE,,3,,626469,FFFFFF
412,YRT,443,LANGSTAFF SS VIA SHAFTSBURY,,3,,626469,FFFFFF
413,YRT,444,LANGSTAFF SS VIA VALLEYMEDE,,3,,626469,FFFFFF
414,YRT,445,ST ROBERT SS TO BERNARD TERM,,3,,626469,FFFFFF
415,YRT,446,ST THERESA SS VIA MACCALLUM,,3,,626469,FFFFFF
416,YRT,447,ST THERESA SS VIA JEFFERSON FOREST,,3,,626469,FFFFFF
417,YRT,448,RICHMOND HILL HIGH SS VIA VALLEYMED,,3,,626469,FFFFFF
418,YRT,449,RICHMOND GREEN SS VIA HILLMOUNT,,3,,626469,FFFFFF
419,YRT,450,ST THERESA SS VIA TOWER HILL,,3,,626469,FFFFFF
420,YRT,451,LANGSTAFF SS VIA HIGHWAY 7,,3,,626469,FFFFFF
421,YRT,452,RICHMOND GREEN SS VIA HAZELTON,,3,,626469,FFFFFF
28,YRT,460,HOLY CROSS SS,,3,,626469,FFFFFF
29,YRT,461,EMILY CARR SS,,3,,626469,FFFFFF
30,YRT,462,MAPLE HIGH SS,,3,,626469,FFFFFF
31,YRT,463,VELLORE SS,,3,,626469,FFFFFF
154,YRT,464,ST JOAN OF ARC SS VIA AMERICA,,3,,626469,FFFFFF
155,YRT,465,ST JOAN OF ARC SS VIA MELVILLE,,3,,626469,FFFFFF
9304,YRT,466,TOMMY DOUGLAS SECONDARY SS,,3,,626469,FFFFFF
1040,YRT,520,NEWMARKET COMMUNITY BUS,,3,,F38AB3,FFFFFF
1041,YRT,521,NEWMARKET COMMUNITY BUS,,3,,F38AB3,FFFFFF
1042,YRT,522,MARKHAM COMMUNITY BUS,,3,,F38AB3,FFFFFF
9582,YRT,560,MAPLE COMMUNITY BUS,,3,,F38AB3,FFFFFF
9583,YRT,561,WOODBRIDGE COMMUNITY BUS,,3,,F38AB3,FFFFFF
1043,YRT,589,RICHMOND HILL COMMUNITY BUS,,3,,F38AB3,FFFFFF
4378,YRT,590,RICHMOND HILL COMMUNITY BUS,,3,,F38AB3,FFFFFF
1,YRT,Viva blue,VIVA BLUE,,3,,00A3E0,FFFFFF
2198,YRT,Viva blue A,VIVA BLUE-A,,3,,00A3E0,FFFFFF
2,YRT,Viva purple,VIVA PURPLE,,3,,A44DC4,FFFFFF
3,YRT,Viva pink,VIVA PINK,,3,,C34E8A,FFFFFF
4,YRT,Viva orange,VIVA ORANGE,,3,,FFA100,FFFFFF
5,YRT,Viva green,VIVA GREEN,,3,,BAD405,FFFFFF
8838,YRT,Viva yellow,VIVA YELLOW,,3,,E5E500,FFFFFF
4289,YRT,760,VAUGHAN MILLS / WONDERLAND,,3,,3C2211,FFFFFF
